frame,vx_sp_ma,vy_sp_ma,vz_sp_ma,vx_sp_lp,vy_sp_lp,vz_sp_lp,vx_sift_ma,vy_sift_ma,vz_sift_ma,vx_sift_lp,vy_sift_lp,vz_sift_lp
1,-0.043390770168558385,0.10265508001273284,0.12261107409994516,-0.043390770168558385,0.10265508001273284,0.12261107409994516,-0.8766055467934148,1.0058105816337515,0.46418301136559986,-0.8766055467934148,1.0058105816337515,0.46418301136559986
2,-0.05025990903505609,0.13525985302745205,0.09413160432218233,-0.03651417535540509,0.11917485321366321,0.11100132487048234,-0.27311839227882717,0.7225716364756044,0.12684912388247807,-0.5368553341780476,0.9669052152432137,0.32648535609479734
3,-0.03399781401991958,0.16972274571675106,0.07035846972348694,-0.020488224565239833,0.1440295908105083,0.09339126961908838,-0.09036681839927511,0.4695016330097606,0.22285816326733626,-0.26370821151009427,0.823205783322237,0.3445785710780806
4,0.0023321117657583573,0.19523461477510798,0.048298066338598226,0.008864771682242,0.16817269305375102,0.0711783671647379,0.27645568141688337,1.3575512055558638,0.27051803429425403,0.15543592421945557,1.4883229005731398,0.35992011384090883
5,-0.041324849905866295,-0.21665863215533337,0.029884180980602054,-0.04189109362772185,-0.19439122307346987,0.04818450799453379,-0.409506428270467,-1.071880944239877,0.1961160289603167,-0.33679891706563225,-1.1944730409882163,0.2676578728181409
6,0.07959989147484317,0.22823560369014928,0.019791184980488173,0.07734386055867758,0.21502489586212326,0.032708303882539355,0.49346257771720736,0.8218400443733479,0.1515371049986644,0.43423288423823,0.8957446332683037,0.20045733164701168
7,0.11600151716969243,0.22613674549026017,0.013385573710684101,0.11301042566888087,0.2213684575077487,0.021364475384523237,0.486946729197562,0.5602874008656206,0.12256758621069781,0.3972318773174349,0.5570427345743415,0.15073958038089622
8,0.16694099700855092,0.23449057022646805,-0.005413226233575575,0.1550564952653235,0.2179071325847768,0.0148237808375019,1.0607810737161474,0.9359303703825803,0.030155702115428548,1.2186664586252607,1.2632312664932845,0.08209432707918961
9,0.22396376571116522,0.22224047136809097,-0.01815086191785916,0.20287193324687192,0.2042822293887235,0.007351752915615111,0.9879567314844517,0.6225878773987776,0.10444833899368815,0.8888188201760665,0.6660444165350192,0.12885365900238122
10,0.27904660300130485,0.1878765639926201,-0.02656605054351926,0.253378035765094,0.17118581525711424,-0.0003879875692594894,1.2116380923903731,0.44372951102529745,0.06686949933938449,0.9424855705774036,0.4385261993857024,0.13780871965186034
11,0.3140044736267552,0.14523031057710087,-0.029397555159888362,0.28232148638520993,0.12852940130347631,-0.006907861269026437,0.7904189510524519,0.31106058679002263,0.01645182392277758,0.9580658888990364,0.3204617894301617,0.11504845803234123
12,0.34560217754090317,0.09648854194975537,-0.02396085893108012,0.32020890806723507,0.08208071790936358,-0.006426316032470804,0.837202920315474,0.11212417684453273,0.034925778992687215,0.8522782064910083,0.08550865537103136,0.09946807921832661
13,0.3661934467524059,0.032899557835900164,0.006502186274111092,0.345765686977983,0.018333891155934246,0.030530788919328852,0.9906125166841274,-0.9300825873308981,0.04990471701313104,0.8891712775565183,-1.3066771306976452,0.09147802756244616
14,0.37756961510195947,-0.04300325125833038,0.04023868620265203,0.35602002471830896,-0.054404169297129476,0.0648651888802399,0.7876026705446595,-0.6787303742125658,0.09255353259656612,0.38644220985776656,-0.5246480283302013,0.12434429381462127
15,0.3672874249249532,-0.11085198488648343,0.07178483309074866,0.3438948492004792,-0.11390976985607895,0.09181690272602343,-0.12419537770935318,-0.6675705637522726,0.12380199994517109,0.18237053055453756,-0.8823346741657574,0.07506866675482742
