timestamp,speed_sp_ma,speed_sp_lp,speed_sift_ma,speed_sift_lp,speed_gt
0.050000,0.000000,0.000000,0.003447,0.003447,0.000000
0.100000,0.003966,0.001586,0.003563,0.003481,0.000000
0.150000,0.002644,0.001269,0.002494,0.002863,0.000000
0.200000,0.001983,0.001015,0.002758,0.002956,0.000000
0.250000,0.001586,0.000812,0.003011,0.003124,0.000000
0.300000,0.001322,0.000650,0.003110,0.003222,0.000000
0.350000,0.001133,0.000520,0.003127,0.003224,0.000000
0.400000,0.001133,0.000416,0.003386,0.003260,0.000000
0.450000,0.000000,0.000333,0.003933,0.003315,0.000000
0.500000,0.000000,0.000266,0.003979,0.002979,0.000000
0.550000,0.000000,0.000213,0.004103,0.002864,0.000000
0.600000,0.000000,0.000170,0.003685,0.002790,0.000000
0.650000,0.000000,0.000136,0.003344,0.002782,0.000000
0.700000,0.000000,0.000109,0.003438,0.002862,0.000000
0.750000,0.000000,0.000087,0.003524,0.003170,0.000000
0.800000,0.000000,0.000070,0.003710,0.003471,0.000000
0.850000,0.000000,0.000056,0.003918,0.003674,0.000000
0.900000,0.000000,0.000045,0.004220,0.003767,0.000000
0.950000,0.000000,0.000036,0.004731,0.004196,0.000000
1.000000,0.000000,0.000029,0.004946,0.004515,0.000000
1.050000,0.000000,0.000023,0.005237,0.004675,0.000000
1.100000,0.000000,0.000018,0.004656,0.003873,0.000000
1.150000,0.000000,0.000015,0.004560,0.003938,0.000000
1.200000,0.000000,0.000012,0.003817,0.003065,0.000000
1.250000,0.000000,0.000009,0.003280,0.002545,0.000000
1.300000,0.000000,0.000007,0.002247,0.001710,0.000000
1.350000,0.000000,0.000006,0.002036,0.001553,0.000000
1.400000,0.000000,0.000005,0.001841,0.001406,0.000000
1.450000,0.000000,0.000004,0.001931,0.001493,0.000000
1.500000,0.000000,0.000003,0.002861,0.001946,0.000000
1.550000,0.000000,0.000002,0.003381,0.002732,0.000000
1.600000,0.000000,0.000002,0.004002,0.003197,0.000000
1.650000,0.000000,0.000002,0.004299,0.003732,0.000000
1.700000,0.000000,0.000001,0.004342,0.004119,0.000000
1.750000,0.000000,0.000001,0.005378,0.004544,0.000000
1.800000,0.000000,0.000001,0.005993,0.004978,0.000000
1.850000,0.000000,0.000001,0.006689,0.006014,0.000000
1.900000,0.000000,0.000001,0.007008,0.006479,0.000000
