timestamp,speed_sift_ma,speed_sift_lp,speed_gt
0.049996,0.004491,0.004491,0.000000
0.100002,0.004496,0.004492,0.000000
0.150008,0.004542,0.004519,0.000000
0.200012,0.004712,0.004646,0.000000
0.250006,0.004691,0.004641,0.000000
0.300015,0.005019,0.005036,0.000000
0.350004,0.004198,0.003891,0.000000
0.400019,0.003993,0.003694,0.000000
0.450020,0.003296,0.003031,0.000000
0.500014,0.003205,0.002839,0.000000
0.550026,0.003591,0.003386,0.000000
0.600027,0.004585,0.003769,0.000000
0.650039,0.005179,0.003627,0.000000
0.700040,0.004911,0.003053,0.000000
0.750001,0.005019,0.002824,0.000000
0.800005,0.003614,0.002553,0.000000
0.850006,0.003813,0.003034,0.000000
0.900011,0.003146,0.002771,0.000000
0.950012,0.003208,0.003269,0.000000
1.000015,0.003738,0.003893,0.000000
1.050030,0.004601,0.004405,0.000000
1.100020,0.004858,0.004538,0.000000
1.150024,0.005129,0.004468,0.000000
1.200032,0.005165,0.004480,0.000000
1.250029,0.005036,0.004088,0.000000
1.300031,0.004614,0.003847,0.000000
1.350032,0.003734,0.003131,0.000000
1.400034,0.003057,0.002906,0.000000
1.450040,0.002653,0.002797,0.000000
1.500013,0.002551,0.002793,0.000000
1.552030,0.001852,0.001930,0.000000
1.600016,0.001780,0.001890,0.000000
1.650012,0.002326,0.002256,0.000000
1.700020,0.003141,0.003393,0.000000
1.750024,0.005229,0.005474,0.000000
1.800025,0.006445,0.005901,0.000000
1.850026,0.007587,0.006040,0.000000
1.900028,0.007810,0.006052,0.000000
1.950416,0.008464,0.006184,0.000000
2.000039,0.008263,0.006103,0.000000
2.050038,0.007774,0.006182,0.000000
2.100043,0.006621,0.006165,0.000000
2.150032,0.006268,0.006078,0.000000
2.200036,0.005300,0.004824,0.000000
2.250015,0.004462,0.003858,0.000000
2.300019,0.003336,0.002911,0.000000
2.350021,0.002613,0.002595,0.000000
2.400029,0.002071,0.002180,0.000000
2.450026,0.002070,0.001881,0.000000
2.500030,0.002517,0.001980,0.000000
2.550030,0.002405,0.001722,0.000000
2.600036,0.002301,0.001477,0.000000
2.650038,0.001990,0.001229,0.000000
2.700042,0.001622,0.001127,0.000000
2.750041,0.001295,0.000776,0.000000
2.800045,0.000777,0.000458,0.000000
2.850044,0.000899,0.000426,0.000000
2.900053,0.000628,0.000215,0.000000
2.950052,0.000610,0.000911,0.000000
3.000023,0.001016,0.001098,0.000000
3.055429,0.001335,0.000988,0.000000
3.100031,0.001176,0.000714,0.000000
3.150039,0.001366,0.000975,0.000000
3.200034,0.001337,0.000665,0.000000
3.250042,0.000899,0.000724,0.000000
3.300041,0.000849,0.001087,0.000000
3.350037,0.001285,0.001276,0.000000
3.400044,0.001486,0.001176,0.000000
3.450049,0.002016,0.001766,0.000000
3.500039,0.002638,0.002126,0.000000
3.551865,0.003220,0.002769,0.000000
3.600060,0.003303,0.002942,0.000000
3.650048,0.003369,0.003168,0.000000
3.700066,0.003560,0.003140,0.000000
3.750033,0.003865,0.002995,0.000000
3.800037,0.003274,0.002533,0.000000
3.850064,0.003191,0.002669,0.000000
3.900040,0.002802,0.002499,0.000000
3.950042,0.002503,0.002365,0.000000
4.000044,0.002444,0.002602,0.000000
4.050045,0.002724,0.003085,0.000000
4.100047,0.002672,0.002928,0.000000
4.150052,0.003024,0.003026,0.000000
4.200059,0.003354,0.003384,0.000000
4.250054,0.003523,0.003292,0.000000
4.300061,0.003796,0.003382,0.000000
4.350062,0.003583,0.003183,0.000000
4.400071,0.003533,0.003257,0.000000
4.450073,0.003688,0.003336,0.000000
4.500038,0.003603,0.003378,0.000000
4.550044,0.003383,0.003388,0.000000
4.600050,0.003157,0.003053,0.000000
4.650045,0.002908,0.002757,0.000000
4.700048,0.002825,0.002722,0.000000
4.750051,0.002790,0.002864,0.000000
4.800060,0.002920,0.002901,0.000000
4.850058,0.002716,0.002643,0.000000
4.900065,0.002554,0.002491,0.000000
4.950068,0.002184,0.001912,0.000000
5.000066,0.001675,0.001215,0.000000
5.050912,0.000895,0.000460,0.000000
5.100075,0.000333,0.000302,0.000000
5.150062,0.000695,0.000460,0.000000
5.200077,0.001074,0.000590,0.000000
5.250043,0.001361,0.000585,0.000000
5.300046,0.001350,0.000810,0.000000
5.350051,0.001317,0.001034,0.000000
5.400058,0.001183,0.000940,0.000000
5.450054,0.001224,0.001235,0.000000
5.500057,0.001619,0.001446,0.000000
5.550063,0.001871,0.001521,0.000000
5.600069,0.002248,0.001982,0.000000
5.650656,0.002539,0.002460,0.000000
5.700076,0.002787,0.002615,0.000000
5.762931,0.002902,0.002513,0.000000
5.800077,0.002900,0.002315,0.000000
5.850067,0.003207,0.002623,0.000000
5.900085,0.003044,0.002422,0.000000
5.950082,0.002506,0.002000,0.000000
6.000056,0.002050,0.001963,0.000000
